"",BBEX3.M.CUC.USD.CM.AC.A01,BBEX3.M.CUC.USD.CM.AC.A01_FLAGS
"",Exchange rates for the US dollar in Cuba / CUC 1 = USD ... (middle),
unit,USD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:54,
2009-03,1.081140,
2009-04,1.081140,
2009-05,1.081140,
2009-06,1.081140,
2009-07,1.081140,
2009-08,1.081140,
2009-09,1.081140,
2009-10,1.081140,
2009-11,1.081140,
2009-12,1.081140,
2010-01,1.081140,
2010-02,1.081140,
2010-03,1.081140,
2010-04,1.081140,
2010-05,1.081140,
2010-06,1.081140,
2010-07,1.081140,
2010-08,1.081140,
2010-09,1.081140,
2010-10,1.081140,
2010-11,1.081140,
2010-12,1.081140,
2011-01,1.081140,
2011-02,1.081140,
2011-03,1.001060,
2011-04,1.001060,
2011-05,1.001060,
2011-06,1.001060,
2011-07,1.001060,
2011-08,1.001060,
2011-09,1.001060,
2011-10,1.001060,
2011-11,1.001060,
2011-12,1.001060,
2012-01,1.001060,
2012-02,1.001060,
2012-03,1.001060,
2012-04,1.001060,
2012-05,1.001060,
2012-06,1.001060,
2012-07,1.001060,
2012-08,1.001060,
2012-09,1.001060,
2012-10,1.001060,
2012-11,1.001060,
2012-12,1.001060,
2013-01,1.001060,
2013-02,1.001060,
2013-03,1.001060,
2013-04,1.001060,
2013-05,1.001060,
2013-06,1.001060,
2013-07,1.001060,
2013-08,1.001060,
2013-09,1.001060,
2013-10,1.001060,
2013-11,1.001060,
2013-12,1.001060,
2014-01,1.001060,
2014-02,1.001060,
2014-03,1.001060,
2014-04,1.001060,
2014-05,1.001060,
2014-06,1.001060,
2014-07,1.001060,
2014-08,1.001060,
2014-09,1.001060,
2014-10,1.001060,
2014-11,1.001060,
2014-12,1.001060,
2015-01,1.001060,
2015-02,1.001060,
"","General: The ISO code CUC was introduced on 1 March 2009.   Alongside the convertible peso (CUC), which is primarily used by foreigners, there is the Cuban peso (CUP), which is used by residents to purchase their basic needs, among other things.   Foreign currencies can be freely exchanged in Cuba for convertible pesos (CUC), and they enable both residentsand foreigners to purchase items which the government considers to be luxury articles.   In its national accounts, the Cuban government fixes the ratio of convertible peso (CUC) to Cuban peso (CUP) at 1:1. In reality, Cuban pesos can only be exchanged for convertible pesos at a considerable discount.",
"","Source: Calculated on the basis of the buying and selling rates of the Banco Metropolitano, Havana.",
