"",BBEX3.M.HTG.EUR.CA.AC.A01,BBEX3.M.HTG.EUR.CA.AC.A01_FLAGS
"",Exchange rates (comparable rates) for the euro in Haiti * / EUR 1 = HTG ...,
unit,HTG (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:52,
1999-01,19.0998,
1999-02,18.6141,
1999-03,17.9720,
1999-04,17.6838,
1999-05,17.4605,
1999-06,17.2525,
1999-07,17.9918,
1999-08,17.7585,
1999-09,18.0677,
1999-10,18.3431,
1999-11,18.1374,
1999-12,18.0515,
2000-01,17.8803,
2000-02,18.6361,
2000-03,18.8550,
2000-04,17.9215,
2000-05,18.3031,
2000-06,19.4733,
2000-07,19.2882,
2000-08,19.2677,
2000-09,24.8345,
2000-10,19.8490,
2000-11,20.7444,
2000-12,20.9588,
2001-01,22.0813,
2001-02,21.7775,
2001-03,21.1651,
2001-04,20.8276,
2001-05,19.9447,
2001-06,20.6684,
2001-07,21.1041,
2001-08,22.3679,
2001-09,23.2774,
2001-10,23.5161,
2001-11,23.0994,
2001-12,23.2125,
2002-01,23.0387,
2002-02,23.5292,
2002-03,23.3505,
2002-04,24.0305,
2002-05,25.3168,
2002-06,27.2137,
2002-07,27.8206,
2002-08,28.2805,
2002-09,29.2826,
2002-10,32.5065,
2002-11,37.0008,
2002-12,39.4408,
2003-01,44.8969,
2003-02,47.9994,
2003-03,45.9935,
2003-04,47.0857,
2003-05,47.9264,
2003-06,48.9730,
2003-07,48.3391,
2003-08,45.0378,
2003-09,48.9679,
2003-10,48.7686,
2003-11,51.3618,
2003-12,53.1532,
2004-01,54.5949,
2004-02,54.6439,
2004-03,49.1606,
2004-04,45.0932,
2004-05,45.0765,
2004-06,43.4369,
2004-07,43.3783,
2004-08,43.7156,
2004-09,45.6935,
2004-10,47.3260,
2004-11,49.8360,
2004-12,50.7134,
2005-01,49.1309,
2005-02,50.2349,
2005-03,49.5275,
2005-04,50.5726,
2005-05,47.7539,
2005-06,48.2767,
2005-07,50.8824,
2005-08,52.1034,
2005-09,51.5983,
2005-10,51.7339,
2005-11,50.6787,
2005-12,50.7275,
2006-01,52.6839,
2006-02,51.0358,
2006-03,51.6461,
2006-04,51.5224,
2006-05,50.2094,
2006-06,50.6764,
2006-07,50.4981,
2006-08,49.9409,
2006-09,49.5376,
2006-10,49.6810,
2006-11,51.4745,
2006-12,49.5079,
2007-01,50.4977,
2007-02,50.6268,
2007-03,49.8380,
2007-04,50.2072,
2007-05,49.1998,
2007-06,48.2708,
2007-07,48.8501,
2007-08,49.0039,
2007-09,51.5850,
2007-10,52.5296,
2007-11,54.8792,
2007-12,54.1503,
2008-01,55.8270,
2008-02,57.2133,
2008-03,61.2157,
2008-04,59.6929,
2008-05,60.2923,
2008-06,62.3619,
2008-07,62.0912,
2008-08,58.9319,
2008-09,57.1455,
2008-10,50.9771,
2008-11,51.3246,
2008-12,55.4142,
2009-01,51.8269,
2009-02,51.1578,
2009-03,54.1665,
2009-04,54.1571,
2009-05,57.5427,
2009-06,58.1750,
2009-07,58.5995,
2009-08,59.1339,
2009-09,61.1692,
2009-10,62.2001,
2009-11,63.5178,
2009-12,60.5330,
2010-01,54.0484,
2010-02,52.4311,
2010-03,53.3979,
2010-04,52.6072,
2010-05,48.9726,
2010-06,48.8375,
2010-07,51.9025,
2010-08,50.5326,
2010-09,54.5108,
2010-10,55.5602,
2010-11,52.1861,
2010-12,53.2899,
2011-01,55.2285,
2011-02,55.8621,
2011-03,57.1957,
2011-04,59.8174,
2011-05,57.9120,
2011-06,58.2801,
2011-07,57.6339,
2011-08,58.7369,
2011-09,55.1895,
2011-10,57.4125,
2011-11,55.1423,
2011-12,53.0155,
2012-01,54.4576,
2012-02,55.8342,
2012-03,55.5356,
2012-04,55.1328,
2012-05,51.9825,
2012-06,52.8479,
2012-07,51.6159,
2012-08,53.2087,
2012-09,54.7226,
2012-10,55.1060,
2012-11,55.2915,
2012-12,56.1444,
2013-01,57.9309,
2013-02,56.2722,
2013-03,55.0828,
2013-04,56.6620,
2013-05,56.8106,
2013-06,57.2802,
2013-07,58.0550,
2013-08,57.9104,
2013-09,59.0748,
2013-10,59.7585,
2013-11,59.6837,
2013-12,60.5177,
2014-01,59.4908,
2014-02,61.2578,
2014-03,61.6409,
2014-04,62.3159,
2014-05,61.7147,
2014-06,61.9252,
2014-07,60.6807,
2014-08,59.8510,
2014-09,57.3253,
2014-10,57.3063,
2014-11,58.1697,
2014-12,56.7564,
2015-01,53.0518,
"","Source: Banque de la Republique d`Haiti, Port-au-Prince.",
"",Methodology: * We do not have any data from Haiti on euro exchange rates; the comparable rates were calculated on the basis of reference exchange rates for the US dollar in Haiti in conjunction with the respective euro reference exchange rate of the European Central Bank for the US dollar.,
