"",BBFB1.Q.N.DE.FR.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.FR.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / France,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:16,
1991-01,398.777,
1991-04,440.470,
1991-07,434.011,
1991-10,432.514,
1992-01,299.523,
1992-04,318.145,
1992-07,331.919,
1992-10,332.167,
1993-01,335.027,
1993-04,361.641,
1993-07,364.464,
1993-10,389.312,
1994-01,313.238,
1994-04,305.030,
1994-07,289.999,
1994-10,306.940,
1995-01,594.531,
1995-04,615.880,
1995-07,607.701,
1995-10,638.948,
1996-01,430.011,
1996-04,443.255,
1996-07,493.529,
1996-10,490.147,
1997-01,465.231,
1997-04,484.324,
1997-07,477.932,
1997-10,518.021,
1998-01,648.669,
1998-04,656.032,
1998-07,660.910,
1998-10,750.428,
1999-01,761.369,
1999-04,893.113,
1999-07,920.511,
1999-10,928.524,
2000-01,1209.784,
2000-04,1305.615,
2000-07,1306.493,
2000-10,1451.605,
2001-01,933.383,
2001-04,1065.788,
2001-07,1091.534,
2001-10,1070.348,
2002-01,1016.285,
2002-04,1070.224,
2002-07,1040.055,
2002-10,1215.693,
2003-01,1036.300,
2003-04,1166.838,
2003-07,1103.571,
2003-10,1020.046,
2004-01,1434.634,
2004-04,1517.764,
2004-07,1217.089,
2004-10,1259.787,
2005-01,1867.314,
2005-04,2071.874,
2005-07,1933.446,
2005-10,1893.705,
2006-01,1924.339,
2006-04,2008.435,
2006-07,1734.895,
2006-10,1782.039,
2007-01,1144.054,
2007-04,1545.469,
2007-07,1131.037,
2007-10,1182.106,
2008-01,1348.058,
2008-04,1797.771,
2008-07,1316.789,
2008-10,1321.620,
2009-01,1598.665,
2009-04,1795.788,
2009-07,1533.312,
2009-10,1676.048,
2010-01,1282.347,
2010-04,1576.481,
2010-07,1388.100,
2010-10,1624.784,
2011-01,1574.600,
2011-04,1877.298,
2011-07,1661.643,
2011-10,1715.390,
2012-01,2058.460,
2012-04,2279.890,
2012-07,1946.430,
2012-10,2037.234,
2013-01,990.355,
2013-04,1310.147,
2013-07,887.195,
2013-10,1082.105,
2014-01,1528.211,Provisional value
2014-04,2121.763,Provisional value
2014-07,1454.323,Provisional value
