"",BBFI1.M.N.DE.W0.S121.S1.FM.A.RT9.RT.FR1._Z.X1.M.N,BBFI1.M.N.DE.W0.S121.S1.FM.A.RT9.RT.FR1._Z.X1.M.N_FLAGS
"","Reserve template (mthly.) - Securities (Equity, investment fund shares/units and debt securities) - Stocks and Future flows to be reported with standard periodicity and timeliness",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:18,
1999-12,-2324,
2000-01,-1054,
2000-02,821,
2000-03,2263,
2000-04,1333,
2000-05,-2315,
2000-06,-2429,
2000-07,847,
2000-08,-580,
2000-09,-1187,
2000-10,-136,
2000-11,-889,
2000-12,-2352,
2001-01,-1362,
2001-02,-2136,
2001-03,-1064,
2001-04,-2383,
2001-05,-672,
2001-06,-305,
2001-07,593,
2001-08,-262,
2001-09,-2038,
2001-10,-266,
2001-11,-563,
2001-12,-2367,
2002-01,864,
2002-02,129,
2002-03,-179,
2002-04,-1015,
2002-05,-654,
2002-06,-899,
2002-07,289,
2002-08,761,
2002-09,1357,
2002-10,1012,
2002-11,866,
2002-12,-196,
2003-01,534,
2003-02,1088,
2003-03,966,
2003-04,828,
2003-05,558,
2003-06,-9,
2003-07,1080,
2003-08,-228,
2003-09,215,
2003-10,-752,
2003-11,343,
2003-12,-947,
2004-01,-489,
2004-02,-959,
2004-03,99,
2004-04,-253,
2004-05,-864,
2004-06,1171,
2004-07,1598,
2004-08,1621,
2004-09,1771,
2004-10,2643,
2004-11,1586,
2004-12,243,
2005-01,375,
2005-02,1072,
2005-03,1090,
2005-04,791,
2005-05,661,
2005-06,219,
2005-07,706,
2005-08,701,
2005-09,1055,
2005-10,339,
2005-11,535,
2005-12,289,
2006-01,1154,
2006-02,159,
2006-03,1317,
2006-04,353,
2006-05,316,
2006-06,248,
2006-07,859,
2006-08,339,
2006-09,610,
2006-10,119,
2006-11,113,
2006-12,-123,
2007-01,-165,
2007-02,-303,
2007-03,-839,
2007-04,-1736,
2007-05,-1936,
2007-06,-1491,
2007-07,-1146,
2007-08,-2006,
2007-09,-2262,
2007-10,-2366,
2007-11,-2191,
2007-12,-1920,
2008-01,-1544,
2008-02,-414,
2008-03,-218,
2008-04,486,
2008-05,351,
2008-06,1509,
2008-07,2708,
2008-08,2995,
2008-09,3282,
2008-10,2566,
2008-11,2411,
2008-12,30,
2009-01,195,
2009-02,611,
2009-03,-,Nothing exists
2009-04,4,
2009-05,10,
2009-06,16,
2009-07,205,
2009-08,19,
2009-09,2,
2009-10,11,
2009-11,272,
2009-12,-,Nothing exists
2010-01,2524,
2010-02,5892,
2010-03,381,
2010-04,1147,
2010-05,6717,
2010-06,3513,
2010-07,5784,
2010-08,5897,
2010-09,3598,
2010-10,5044,
2010-11,4980,
2010-12,3507,
2011-01,3385,
2011-02,2922,
2011-03,4660,
2011-04,4635,
2011-05,4897,
2011-06,4349,
2011-07,5046,
2011-08,3750,
2011-09,4454,
2011-10,3669,
2011-11,4439,
2011-12,3879,
2012-01,3832,
2012-02,1910,
2012-03,2229,
2012-04,4180,
2012-05,3850,
2012-06,3430,
2012-07,4426,
2012-08,4721,
2012-09,4836,
2012-10,3218,
2012-11,3391,
2012-12,3368,
2013-01,2246,
2013-02,4393,
2013-03,3628,
2013-04,3286,
2013-05,3244,
2013-06,2424,
2013-07,310,
2013-08,245,
2013-09,2390,
2013-10,2245,
2013-11,1580,
2013-12,1199,
2014-01,544,
2014-02,566,
2014-03,944,
2014-04,1264,
2014-05,947,
2014-06,1059,
2014-07,2460,
2014-08,2489,
2014-09,1647,
2014-10,2741,
2014-11,2150,
2014-12,1587,
2015-01,2889,
