"",BBK01.CEBFQC,BBK01.CEBFQC_FLAGS
"",longer-term loans debtor: All sectors                    creditor: General government  (consolidated),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:23:15,
1991-01,17.0,
1991-04,19.0,
1991-07,21.2,
1991-10,22.6,
1992-01,24.9,
1992-04,27.0,
1992-07,29.1,
1992-10,31.2,
1993-01,33.2,
1993-04,34.6,
1993-07,37.1,
1993-10,39.0,
1994-01,42.1,
1994-04,44.6,
1994-07,46.2,
1994-10,48.2,
1995-01,62.8,
1995-04,66.1,
1995-07,67.5,
1995-10,66.1,
1996-01,68.9,
1996-04,72.6,
1996-07,74.0,
1996-10,69.7,
1997-01,72.8,
1997-04,75.8,
1997-07,76.0,
1997-10,71.5,
1998-01,74.6,
1998-04,77.5,
1998-07,78.5,
1998-10,73.7,
1999-01,73.2,
1999-04,73.0,
1999-07,73.0,
1999-10,75.0,
2000-01,73.8,
2000-04,75.6,
2000-07,76.2,
2000-10,77.1,
2001-01,77.1,
2001-04,77.6,
2001-07,77.0,
2001-10,78.0,
2002-01,77.6,
2002-04,77.4,
2002-07,76.4,
2002-10,76.7,
2003-01,77.2,
2003-04,76.7,
2003-07,76.3,
2003-10,75.0,
2004-01,75.9,
2004-04,74.9,
2004-07,70.1,
2004-10,68.0,
2005-01,69.6,
2005-04,67.2,
2005-07,62.3,
2005-10,61.1,
2006-01,60.3,
2006-04,59.8,
2006-07,56.4,
2006-10,56.3,
2007-01,57.1,
2007-04,56.1,
2007-07,55.5,
2007-10,55.0,
2008-01,54.3,
2008-04,53.8,
2008-07,52.8,
2008-10,53.1,
2009-01,52.0,
2009-04,55.6,
2009-07,54.2,
2009-10,53.9,
2010-01,53.2,
2010-04,70.2,
2010-07,68.2,
2010-10,102.3,
2011-01,101.8,
2011-04,100.1,
2011-07,101.9,
2011-10,108.6,
2012-01,111.8,
2012-04,123.8,
2012-07,138.9,
2012-10,149.4,
2013-01,152.6,
2013-04,155.0,
2013-07,157.9,
2013-10,162.5,
2014-01,157.5,
