"",BBK01.CEBH10,BBK01.CEBH10_FLAGS
"",Shares debtor: Non-financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:47,
1991-01,421.9,
1991-04,451.5,
1991-07,443.5,
1991-10,420.7,
1992-01,456.8,
1992-04,462.0,
1992-07,385.6,
1992-10,393.8,
1993-01,434.0,
1993-04,432.5,
1993-07,478.4,
1993-10,558.9,
1994-01,590.9,
1994-04,573.4,
1994-07,576.3,
1994-10,596.8,
1995-01,547.6,
1995-04,596.4,
1995-07,635.9,
1995-10,640.4,
1996-01,696.5,
1996-04,724.9,
1996-07,738.1,
1996-10,793.6,
1997-01,915.9,
1997-04,988.2,
1997-07,1027.4,
1997-10,998.5,
1998-01,1236.0,
1998-04,1401.9,
1998-07,1132.9,
1998-10,1243.3,
1999-01,1316.8,
1999-04,1274.1,
1999-07,1131.6,
1999-10,1619.9,
2000-01,1666.5,
2000-04,1616.0,
2000-07,1495.7,
2000-10,1395.7,
2001-01,1246.3,
2001-04,1222.8,
2001-07,1108.3,
2001-10,1312.1,
2002-01,1341.0,
2002-04,1194.6,
2002-07,764.2,
2002-10,759.1,
2003-01,673.2,
2003-04,812.4,
2003-07,825.2,
2003-10,928.8,
2004-01,930.4,
2004-04,961.9,
2004-07,929.0,
2004-10,979.2,
2005-01,1007.0,
2005-04,1046.4,
2005-07,1095.1,
2005-10,1137.4,
2006-01,1273.1,
2006-04,1222.8,
2006-07,1230.4,
2006-10,1336.7,
2007-01,1414.5,
2007-04,1545.1,
2007-07,1544.3,
2007-10,1564.3,
2008-01,1322.0,
2008-04,1266.1,
2008-07,1154.1,
2008-10,963.5,
2009-01,814.4,
2009-04,948.4,
2009-07,1043.3,
2009-10,1081.3,
2010-01,1118.8,
2010-04,1089.5,
2010-07,1159.5,
2010-10,1301.8,
2011-01,1322.3,
2011-04,1357.5,
2011-07,1046.6,
2011-10,1110.5,
2012-01,1282.5,
2012-04,1166.3,
2012-07,1294.9,
2012-10,1373.6,
2013-01,1430.9,
2013-04,1389.6,
2013-07,1503.6,
2013-10,1664.7,
2014-01,1672.4,
