"",BBK01.OECJ02R,BBK01.OECJ02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:21,
2002-01,0.266,
2002-04,0.290,
2002-07,0.290,
2002-10,0.327,
2003-01,0.235,
2003-04,0.256,
2003-07,0.262,
2003-10,0.306,
2004-01,0.261,
2004-04,0.286,
2004-07,0.287,
2004-10,0.425,
2005-01,0.368,
2005-04,0.366,
2005-07,0.379,
2005-10,0.468,
2006-01,0.352,
2006-04,0.393,
2006-07,0.460,
2006-10,0.540,
2007-01,0.498,
2007-04,0.538,
2007-07,0.527,
2007-10,0.419,
2008-01,0.442,
2008-04,0.373,
2008-07,0.393,
2008-10,0.463,
2009-01,0.416,
2009-04,0.383,
2009-07,0.417,
2009-10,0.522,
2010-01,0.466,
2010-04,0.431,
2010-07,0.491,
2010-10,0.606,
2011-01,0.495,
2011-04,0.476,
2011-07,0.511,
2011-10,0.522,
2012-01,0.520,
2012-04,0.525,
2012-07,0.582,
2012-10,0.615,
2013-01,0.563,
2013-04,0.570,
2013-07,0.604,
2013-10,0.662,
2014-01,0.609,
2014-04,0.621,
2014-07,0.659,
