"",BBK01.OEHB11J,BBK01.OEHB11J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:32,
2002-01,0.337,
2002-04,0.333,
2002-07,0.327,
2002-10,0.349,
2003-01,0.347,
2003-04,0.327,
2003-07,0.316,
2003-10,0.322,
2004-01,0.358,
2004-04,0.365,
2004-07,0.376,
2004-10,0.336,
2005-01,0.297,
2005-04,0.325,
2005-07,0.319,
2005-10,0.317,
2006-01,0.300,
2006-04,0.347,
2006-07,0.379,
2006-10,0.361,
2007-01,0.354,
2007-04,0.329,
2007-07,0.357,
2007-10,0.377,
2008-01,0.386,
2008-04,0.423,
2008-07,0.396,
2008-10,0.310,
2009-01,0.282,
2009-04,0.305,
2009-07,0.345,
2009-10,0.465,
2010-01,0.457,
2010-04,0.468,
2010-07,0.466,
2010-10,0.503,
2011-01,0.501,
2011-04,0.461,
2011-07,0.447,
2011-10,0.475,
2012-01,0.422,
2012-04,0.421,
2012-07,0.452,
2012-10,0.462,
2013-01,0.456,
2013-04,0.479,
2013-07,0.483,
2013-10,0.480,
2014-01,0.443,
2014-04,0.438,
2014-07,0.456,
