"",BBK01.OELB18L,BBK01.OELB18L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:01,
2002-01,1.106,
2002-04,1.121,
2002-07,1.140,
2002-10,1.096,
2003-01,1.019,
2003-04,1.018,
2003-07,1.059,
2003-10,0.976,
2004-01,0.921,
2004-04,0.923,
2004-07,0.934,
2004-10,0.924,
2005-01,0.877,
2005-04,0.890,
2005-07,0.894,
2005-10,0.878,
2006-01,0.860,
2006-04,0.869,
2006-07,0.880,
2006-10,0.835,
2007-01,0.807,
2007-04,0.824,
2007-07,0.829,
2007-10,0.822,
2008-01,0.775,
2008-04,0.794,
2008-07,0.797,
2008-10,0.800,
2009-01,0.772,
2009-04,0.772,
2009-07,0.775,
2009-10,0.720,
2010-01,0.707,
2010-04,0.712,
2010-07,0.693,
2010-10,0.656,
2011-01,0.666,
2011-04,0.665,
2011-07,0.668,
2011-10,0.646,
2012-01,0.647,
2012-04,0.651,
2012-07,0.656,
2012-10,0.649,
2013-01,0.620,
2013-04,0.620,
2013-07,0.644,
2013-10,0.630,
2014-01,0.636,
2014-04,0.639,
2014-07,0.658,
