"",BBK01.OEXB03H,BBK01.OEXB03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:01,
2002-01,8.179,
2002-04,8.188,
2002-07,8.106,
2002-10,8.004,
2003-01,7.998,
2003-04,7.970,
2003-07,7.989,
2003-10,8.151,
2004-01,7.592,
2004-04,8.246,
2004-07,7.565,
2004-10,7.283,
2005-01,7.486,
2005-04,7.647,
2005-07,7.754,
2005-10,8.015,
2006-01,7.600,
2006-04,7.603,
2006-07,7.670,
2006-10,7.797,
2007-01,7.734,
2007-04,7.894,
2007-07,8.130,
2007-10,8.045,
2008-01,7.930,
2008-04,7.982,
2008-07,7.978,
2008-10,7.685,
2009-01,7.772,
2009-04,7.929,
2009-07,8.178,
2009-10,7.910,
2010-01,7.818,
2010-04,8.398,
2010-07,8.571,
2010-10,8.702,
2011-01,8.822,
2011-04,9.198,
2011-07,17.013,
2011-10,18.993,
2012-01,19.035,
2012-04,19.268,
2012-07,19.485,
2012-10,19.939,
2013-01,21.005,
2013-04,19.050,
2013-07,19.254,
2013-10,19.301,
2014-01,19.369,
2014-04,19.669,
2014-07,19.859,
