"",BBK01.OEXO04I,BBK01.OEXO04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:07,
2002-01,-0.132,
2002-04,-0.124,
2002-07,-0.038,
2002-10,-0.024,
2003-01,-0.128,
2003-04,-0.134,
2003-07,-0.034,
2003-10,-0.025,
2004-01,-0.050,
2004-04,-0.066,
2004-07,-0.052,
2004-10,-0.015,
2005-01,0.013,
2005-04,-0.039,
2005-07,-0.069,
2005-10,0.020,
2006-01,0.010,
2006-04,-,Nothing exists
2006-07,-0.016,
2006-10,0.042,
2007-01,0.425,
2007-04,0.086,
2007-07,0.211,
2007-10,0.174,
2008-01,0.003,
2008-04,0.046,
2008-07,0.089,
2008-10,0.576,
2009-01,-0.149,
2009-04,-0.063,
2009-07,0.038,
2009-10,-0.338,
2010-01,-0.399,
2010-04,-0.115,
2010-07,-0.077,
2010-10,0.183,
2011-01,0.116,
2011-04,-0.029,
2011-07,-0.015,
2011-10,-0.019,
2012-01,-0.117,
2012-04,-0.067,
2012-07,-0.128,
2012-10,-0.148,
2013-01,-0.175,
2013-04,-0.134,
2013-07,-0.045,
2013-10,-0.003,
2014-01,-0.035,
2014-04,0.025,
2014-07,0.196,
