"",BBK01.TVD405,BBK01.TVD405_FLAGS
"",Lending to banks (MFIS) in the euro area / in the home coun try / Loans / German contribution,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:20:42,
1980-01,0,
1980-02,-3008,
1980-03,1418,
1980-04,-2720,
1980-05,3868,
1980-06,3633,
1980-07,360,
1980-08,242,
1980-09,2328,
1980-10,250,
1980-11,15277,
1980-12,3969,
1981-01,-11091,
1981-02,-8329,
1981-03,5304,
1981-04,-3920,
1981-05,4650,
1981-06,3248,
1981-07,-1860,
1981-08,6216,
1981-09,-2772,
1981-10,-2261,
1981-11,16906,
1981-12,1500,
1982-01,-11037,
1982-02,2882,
1982-03,5533,
1982-04,-6312,
1982-05,3921,
1982-06,1131,
1982-07,-4037,
1982-08,5978,
1982-09,3441,
1982-10,-1909,
1982-11,13492,
1982-12,-601,
1983-01,-8342,
1983-02,-2095,
1983-03,-3523,
1983-04,1129,
1983-05,10450,
1983-06,-3,
1983-07,-2012,
1983-08,472,
1983-09,-3516,
1983-10,7373,
1983-11,6676,
1983-12,1765,
1984-01,-9390,
1984-02,3346,
1984-03,-5609,
1984-04,-3512,
1984-05,-632,
1984-06,3337,
1984-07,5418,
1984-08,5188,
1984-09,1511,
1984-10,3920,
1984-11,12076,
1984-12,7693,
1985-01,-19668,
1985-02,5221,
1985-03,-7438,
1985-04,-2318,
1985-05,1977,
1985-06,8089,
1985-07,-2429,
1985-08,-706,
1985-09,5975,
1985-10,2910,
1985-11,12486,
1985-12,10531,
1986-01,-18139,
1986-02,-1609,
1986-03,5057,
1986-04,1515,
1986-05,-2736,
1986-06,9197,
1986-07,-5548,
1986-08,7195,
1986-09,-1911,
1986-10,6694,
1986-11,21698,
1986-12,4013,
1987-01,-14378,
1987-02,-696,
1987-03,10299,
1987-04,-9356,
1987-05,10914,
1987-06,504,
1987-07,-5253,
1987-08,11167,
1987-09,-1435,
1987-10,4105,
1987-11,19823,
1987-12,2854,
1988-01,-13710,
1988-02,9020,
1988-03,-13149,
1988-04,1027,
1988-05,6273,
1988-06,-559,
1988-07,2402,
1988-08,8676,
1988-09,294,
1988-10,15058,
1988-11,10551,
1988-12,-1158,
1989-01,-16571,
1989-02,1122,
1989-03,-5876,
1989-04,10479,
1989-05,-1389,
1989-06,806,
1989-07,8223,
1989-08,-7772,
1989-09,1511,
1989-10,9882,
1989-11,17574,
1989-12,7317,
1990-01,-14021,
1990-02,11271,
1990-03,-11970,
1990-04,212,
1990-05,4839,
1990-06,3404,
1990-07,11631,
1990-08,9502,
1990-09,198,
1990-10,6853,
1990-11,4357,
1990-12,1086,
1991-01,-23632,
1991-02,-3572,
1991-03,-12437,
1991-04,4529,
1991-05,-4472,
1991-06,14970,
1991-07,-5856,
1991-08,-10833,
1991-09,6240,
1991-10,-1772,
1991-11,21242,
1991-12,3785,
1992-01,-18912,
1992-02,-1608,
1992-03,3882,
1992-04,-11326,
1992-05,3091,
1992-06,9872,
1992-07,-12295,
1992-08,14095,
1992-09,24857,
1992-10,-4051,
1992-11,32963,
1992-12,-14953,
1993-01,-14715,
1993-02,3543,
1993-03,-3948,
1993-04,-3607,
1993-05,1371,
1993-06,8824,
1993-07,-4690,
1993-08,11881,
1993-09,-4072,
1993-10,3365,
1993-11,31457,
1993-12,-6596,
1994-01,1329,
1994-02,914,
1994-03,-15783,
1994-04,6482,
1994-05,5464,
1994-06,-1325,
1994-07,338,
1994-08,-862,
1994-09,-2035,
1994-10,15860,
1994-11,15342,
1994-12,11301,
1995-01,-16593,
1995-02,11480,
1995-03,-8202,
1995-04,9352,
1995-05,5353,
1995-06,-10340,
1995-07,-11784,
1995-08,4947,
1995-09,11907,
1995-10,11046,
1995-11,37794,
1995-12,13681,
1996-01,-4301,
1996-02,15168,
1996-03,-901,
1996-04,8,
1996-05,-5911,
1996-06,17236,
1996-07,354,
1996-08,11888,
1996-09,11077,
1996-10,11037,
1996-11,36597,
1996-12,2842,
1997-01,-18400,
1997-02,15117,
1997-03,5019,
1997-04,2236,
1997-05,16027,
1997-06,20035,
1997-07,-7589,
1997-08,6120,
1997-09,-3227,
1997-10,23413,
1997-11,29825,
1997-12,-315,
1998-01,-1208,
1998-02,8925,
1998-03,-4660,
1998-04,2700,
1998-05,24301,
1998-06,19215,
1998-07,-10989,
1998-08,29446,
1998-09,-2117,
1998-10,29377,
1998-11,24974,
1998-12,-9368,
1999-01,15080,
1999-02,-27723,
1999-03,-10628,
1999-04,15241,
1999-05,4829,
1999-06,2890,
1999-07,9264,
1999-08,25063,
1999-09,21485,
1999-10,12878,
1999-11,15513,
1999-12,-4905,
2000-01,-15993,
2000-02,-18912,
2000-03,12904,
2000-04,-2722,
2000-05,18244,
2000-06,-8617,
2000-07,-20032,
2000-08,7478,
2000-09,-11521,
2000-10,22187,
2000-11,32885,
2000-12,10845,
2001-01,-39027,
2001-02,27849,
2001-03,12361,
2001-04,-10721,
2001-05,2750,
2001-06,6359,
2001-07,-10720,
2001-08,13797,
2001-09,28820,
2001-10,-11972,
2001-11,12996,
2001-12,-3607,
2002-01,-47138,
2002-02,-9718,
2002-03,12063,
2002-04,-9423,
2002-05,12343,
2002-06,15893,
2002-07,-17173,
2002-08,18381,
2002-09,377,
2002-10,4665,
2002-11,33001,
2002-12,14951,
2003-01,-27118,
2003-02,5907,
2003-03,-6725,
2003-04,-15611,
2003-05,26623,
2003-06,-7156,
2003-07,-27648,
2003-08,-6183,
2003-09,-7835,
2003-10,723,
2003-11,22110,
2003-12,372,
2004-01,-15941,
2004-02,568,
2004-03,-3741,
2004-04,15985,
2004-05,12701,
2004-06,-14952,
2004-07,17598,
2004-08,-3836,
2004-09,-1923,
2004-10,4691,
2004-11,10204,
2004-12,-10465,
2005-01,868,
2005-02,90,
2005-03,-1018,
2005-04,50966,
2005-05,-8818,
2005-06,-26231,
2005-07,8963,
2005-08,-6107,
2005-09,-14074,
2005-10,-6414,
2005-11,9313,
2005-12,15307,
2006-01,-19523,
2006-02,3900,
2006-03,-8614,
2006-04,34186,
2006-05,15086,
2006-06,-40398,
2006-07,2509,
2006-08,3687,
2006-09,7153,
2006-10,-1945,
2006-11,18983,
2006-12,13022,
2007-01,-712,
2007-02,9036,
2007-03,34055,
2007-04,-13347,
2007-05,19,
2007-06,-9823,
2007-07,-9288,
2007-08,32115,
2007-09,23973,
2007-10,7783,
2007-11,18387,
2007-12,64057,
2008-01,-65889,
2008-02,10148,
2008-03,13612,
2008-04,2565,
2008-05,10223,
2008-06,8194,
2008-07,-5388,
2008-08,24539,
2008-09,65847,
2008-10,38733,
2008-11,18929,
2008-12,5956,
2009-01,-29511,
2009-02,-26378,
2009-03,-39602,
2009-04,-18319,
2009-05,-23991,
2009-06,69498,
2009-07,-56049,
2009-08,-6047,
2009-09,-16528,
2009-10,-33386,
2009-11,6072,
2009-12,-7970,
2010-01,765,
2010-02,29605,
2010-03,-310,
2010-04,13073,
2010-05,59502,
2010-06,13791,
2010-07,-100984,
2010-08,15922,
2010-09,-3590,
2010-10,1709,
2010-11,10895,
2010-12,18072,
2011-01,-36001,
2011-02,3667,
2011-03,-8192,
2011-04,-29214,
2011-05,-3490,
2011-06,4764,
2011-07,-5113,
2011-08,71015,
2011-09,82469,
2011-10,200,
2011-11,47538,
2011-12,-35966,
2012-01,83033,
2012-02,55988,
2012-03,59078,
2012-04,17853,
2012-05,9103,
2012-06,-14016,
2012-07,-41437,
2012-08,17537,
2012-09,-65291,
2012-10,-26565,
2012-11,-8011,
2012-12,-84245,
2013-01,-24782,
2013-02,-23723,
2013-03,-22679,
2013-04,-8147,
2013-05,-22372,
2013-06,-14947,
2013-07,-20260,
2013-08,7333,
2013-09,-8945,
2013-10,-33972,
2013-11,11230,
2013-12,-55268,
2014-01,1022,
2014-02,4737,
2014-03,-25212,
2014-04,-7396,
2014-05,16788,
2014-06,-33230,
2014-07,-12639,
2014-08,17069,
2014-09,-4113,
2014-10,-9828,
2014-11,-14475,
2014-12,-16551,
2015-01,40244,
