"",BBK01.WXI042,BBK01.WXI042_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:25,
2009-01,14,
2009-02,13,
2009-03,9,
2009-04,8,
2009-05,7,
2009-06,6,
2009-07,12,
2009-08,12,
2009-09,5,
2009-10,4,
2009-11,5,
2009-12,4,
2010-01,4,
2010-02,5,
2010-03,5,
2010-04,6,
2010-05,6,
2010-06,5,
2010-07,4,
2010-08,5,
2010-09,5,
2010-10,4,
2010-11,3,
2010-12,3,
2011-01,3,
2011-02,4,
2011-03,20,
2011-04,4,
2011-05,5,
2011-06,19,
2011-07,111,
2011-08,8,
2011-09,22,
2011-10,9,
2011-11,11,
2011-12,12,
2012-01,10,
2012-02,9,
2012-03,10,
2012-04,10,
2012-05,9,
2012-06,9,
2012-07,9,
2012-08,38,
2012-09,19,
2012-10,9,
2012-11,37,
2012-12,9,
2013-01,54,
2013-02,71,
2013-03,78,
2013-04,23,
2013-05,43,
2013-06,145,
2013-07,8,
2013-08,24,
2013-09,1,
2013-10,109,
2013-11,110,
2013-12,0,
2014-01,0,
2014-02,14,
2014-03,0,
2014-04,0,
2014-05,0,
2014-06,0,
2014-07,104,
2014-08,106,
2014-09,0,
2014-10,0,
2014-11,94,
